Rank,Building,City,Height_m,Height_ft,Floors,DateComplete,Material,Use
740.0,Grosvenor House The Residence,Dubai,210.4,690.0,48.0,2011.0,concrete,residential
740.0,"Grosvenor House West Marina
Beach",Dubai,210.4,690.0,48.0,2005.0,concrete,residential / hotel
742.0,Shinjuku Sumitomo Building,Tokyo,210.3,690.0,52.0,1974.0,steel,office
743.0,LOHAS Park The C apitol Oslo,Hong Kong,210.0,689.0,69.0,2009.0,concrete,residential
743.0,LOHAS Park The C apitol Whistler,Hong Kong,210.0,689.0,69.0,2009.0,concrete,residential
745.0,Peace Hotel Tower B,Nanchang,210.0,689.0,64.0,2013.0,concrete,hotel
746.0,Torre Aqualina,Panama C ity,210.0,689.0,61.0,2008.0,concrete,residential
747.0,Al Rostamani Maze Tower,Dubai,210.0,689.0,57.0,2010.0,concrete,residential / office
748.0,"Zhongshang Wanhao International
C ondominium",Nanjing,210.0,689.0,54.0,2009.0,,residential
749.0,C RC Tower,Bangkok,210.0,689.0,53.0,2001.0,concrete,office
749.0,"Mirae Scientists Street Residential
Tower",Pyongyang,210.0,689.0,53.0,2015.0,concrete,residential
751.0,Hongji C ommercial C entre 1,Tianjin,210.0,689.0,52.0,1999.0,,office
751.0,Metropolitan Tower A,Suzhou,210.0,689.0,52.0,2009.0,steel/concrete,residential
751.0,Metropolitan Tower B,Suzhou,210.0,689.0,52.0,2009.0,steel/concrete,residential
754.0,C apital Plaza Residential Towers,Abu Dhabi,210.0,689.0,51.0,2011.0,concrete,residential
755.0,21st C entury Mansion,Shanghai,210.0,689.0,50.0,2009.0,composite,"residential / hotel /
office"
755.0,AmBank Tower,Kuala Lumpur,210.0,689.0,50.0,1998.0,concrete,office
755.0,C rowne Plaza Tower 1,C hongqing,210.0,689.0,50.0,2014.0,concrete,hotel
755.0,C rowne Plaza Tower 2,C hongqing,210.0,689.0,50.0,2014.0,concrete,hotel
755.0,Le Reve,Dubai,210.0,689.0,50.0,2006.0,concrete,residential
760.0,Solow Building,New York C ity,210.0,689.0,49.0,1974.0,steel,office
761.0,BDO C orporate C enter Ortigas,Mandaluyong,210.0,689.0,47.0,2015.0,concrete,office
762.0,Excellence Houhai Financial C enter,Shenzhen,210.0,689.0,46.0,2015.0,composite,office
762.0,Financial Street Nankai C enter,Tianjin,210.0,689.0,46.0,2015.0,composite,office
762.0,Suning Ruicheng Phase 1 E06 #1,Nanjing,210.0,689.0,46.0,2015.0,concrete,office
762.0,Suning Ruicheng Phase 1 E07 #2,Nanjing,210.0,689.0,46.0,2015.0,concrete,office
766.0,Dubai Tower,Dubai,210.0,689.0,45.0,2011.0,concrete,residential
766.0,Latifa Tower,Dubai,210.0,689.0,45.0,2012.0,concrete,residential
766.0,Petron Megaplaza,Makati,210.0,689.0,45.0,1998.0,concrete,office
769.0,One International Finance C entre,Hong Kong,210.0,689.0,38.0,1999.0,steel,office
770.0,Suning Ruicheng Phase 1 E08 #2,Nanjing,210.0,689.0,34.0,2015.0,concrete,office
771.0,Moi Tiandi,Taiyuan,210.0,689.0,-,2015.0,composite,office
772.0,HSBC Bank Building,New York C ity,209.7,688.0,52.0,1967.0,steel,office
773.0,One Raffles Place Tower 2,Singapore,209.6,688.0,38.0,2012.0,composite,office
774.0,Ritz-C arlton Hotel & Residences,Toronto,209.5,687.0,54.0,2011.0,concrete,residential / hotel
775.0,The Knightsbridge Residences,Makati,209.4,687.0,62.0,2014.0,concrete,residential
776.0,55 Water Street,New York C ity,209.4,687.0,53.0,1972.0,steel,office
777.0,277 Park Avenue,New York C ity,209.4,687.0,50.0,1963.0,steel,office
778.0,Wall Street Plaza,Nanchang,209.4,687.0,50.0,2014.0,composite,office
779.0,SOC AR Tower,Baku,209.3,687.0,40.0,2015.0,composite,office
780.0,"Tower Palace One, Tower A",Seoul,209.1,686.0,59.0,2002.0,composite,residential
780.0,"Tower Palace One, Tower C",Seoul,209.1,686.0,59.0,2002.0,composite,residential
782.0,Trammel C row C enter,Dallas,209.1,686.0,50.0,1984.0,,office
783.0,Navigation Tower,Doha,209.1,686.0,53.0,2011.0,steel/concrete,office
784.0,Grand Promenade Tower 1,Hong Kong,209.0,686.0,63.0,2005.0,concrete,residential
784.0,Grand Promenade Tower 6,Hong Kong,209.0,686.0,63.0,2005.0,concrete,residential
786.0,Waldorf Astoria C hicago,C hicago,209.0,686.0,60.0,2009.0,concrete,residential / hotel
787.0,U-Residence Tower 2,Tangerang,209.0,686.0,59.0,2015.0,concrete,residential
788.0,Oasis on the Bay,Panama C ity,209.0,686.0,58.0,2012.0,concrete,residential
788.0,Tour de Montparnasse,Paris,209.0,686.0,58.0,1973.0,composite,office
790.0,The Kitahama,Osaka,209.0,686.0,54.0,2009.0,concrete,residential
791.0,Shinjuku Nomura Building,Tokyo,209.0,686.0,53.0,1978.0,steel,office
792.0,Iset Tower,Yekaterinburg,209.0,686.0,52.0,2015.0,concrete,residential
793.0,Huabang World Trade C ity Tower 1,Hefei,209.0,686.0,50.0,2014.0,composite,office
794.0,Moresky 360,Wuxi,209.0,686.0,48.0,2005.0,,hotel / office
795.0,Jiangsu TV Station Building,Nanjing,209.0,686.0,37.0,2007.0,steel/concrete,office
796.0,Metro Plaza Tower II,Hong Kong,208.9,685.0,47.0,1992.0,concrete,office
797.0,Three Allen C enter,Houston,208.8,685.0,50.0,1980.0,steel,office
798.0,1585 Broadway,New York C ity,208.8,685.0,42.0,1989.0,,office
799.0,Random House Tower,New York C ity,208.5,684.0,52.0,2003.0,steel,residential / office
800.0,Marina Heights,Dubai,208.4,684.0,55.0,2006.0,concrete,residential
801.0,Farglory Financial C enter,Taipei,208.3,683.0,32.0,2013.0,steel,office
802.0,The Austonian,Austin,208.1,683.0,56.0,2010.0,concrete,residential
803.0,Foshan International Plaza,Foshan,208.0,683.0,51.0,2008.0,concrete,hotel / office
804.0,Wuhan Times Square Tower 1,Wuhan,208.0,682.0,56.0,2007.0,,multiple
805.0,Ocean One,Panama C ity,208.0,682.0,54.0,2008.0,concrete,residential
806.0,Nanfang International Hotel,Shenzhen,208.0,682.0,53.0,2009.0,,hotel
806.0,Westendstrasse 1,Frankfurt am Main,208.0,682.0,53.0,1993.0,concrete,office
808.0,First Tower,Shenzhen,208.0,682.0,52.0,2001.0,,office
809.0,Jing Guang C enter,Beijing,208.0,682.0,51.0,1990.0,,"residential / hotel /
office"
809.0,Vertical C ity,Guangzhou,208.0,682.0,51.0,2010.0,concrete,"hotel / residential /
office"
811.0,C C C C South Headquarters,Guangzhou,208.0,682.0,50.0,2015.0,composite,office
811.0,Jian Yin Tower A,Wuhan,208.0,682.0,50.0,1997.0,,office
813.0,HJ International Hotel,Dongguan,208.0,682.0,49.0,2010.0,,hotel
814.0,New Times Business C enter,Wuhan,208.0,682.0,48.0,2007.0,concrete,hotel / office
814.0,"Seaview C ondominium @ Green
Bay Pluit Tower J",Jakarta,208.0,682.0,48.0,2015.0,concrete,residential
814.0,"Seaview C ondominium @ Green
Bay Pluit Tower K",Jakarta,208.0,682.0,48.0,2015.0,concrete,residential
814.0,"Seaview C ondominium @ Green
Bay Pluit Tower L",Jakarta,208.0,682.0,48.0,2015.0,concrete,residential
814.0,"Seaview C ondominium @ Green
Bay Pluit Tower M",Jakarta,208.0,682.0,48.0,2015.0,concrete,residential / retail
819.0,Hubin Plaza,Taiyuan,208.0,682.0,47.0,2014.0,composite,office
819.0,Radisson New World Hotel,Shanghai,208.0,682.0,47.0,2003.0,concrete,hotel
819.0,The C ity C enter @ Batavia C ity,Jakarta,208.0,682.0,47.0,2012.0,concrete,office
822.0,Golden Bell Mansion,Shanghai,208.0,682.0,46.0,1997.0,,office
823.0,Warsaw Trade Tower,Warsaw,208.0,682.0,43.0,1999.0,composite,office
824.0,"C hangsha No. 2 Telecom Hinge
Building",C hangsha,208.0,682.0,42.0,2003.0,,office
825.0,Summer Palace Tower A,Shenyang,208.0,682.0,41.0,2015.0,composite,office
826.0,Taiping Financial Tower,Shanghai,208.0,682.0,38.0,2011.0,composite,office
827.0,C hina Merchants Bank Mansion,Shanghai,208.0,682.0,37.0,2013.0,composite,office
828.0,Four Seasons Hotel,New York C ity,207.9,682.0,52.0,1993.0,concrete,hotel
829.0,J57 SkyTown,C hangsha,207.8,682.0,57.0,2015.0,steel,residential / office
830.0,111 South Wacker,C hicago,207.6,681.0,51.0,2005.0,composite,office
831.0,Far Eastern Banqiao Tower,Banciao C ity,207.4,680.0,50.0,2013.0,steel,hotel / office / retail
832.0,Oceania Business Plaza 1,Panama C ity,207.3,680.0,53.0,2012.0,concrete,office
833.0,181 West Madison,C hicago,207.3,680.0,50.0,1990.0,composite,office
834.0,Allianz Tower,Milan,207.2,680.0,50.0,2015.0,concrete,office
835.0,Hyatt C enter,C hicago,207.1,679.0,48.0,2005.0,composite,office
836.0,Aurora,Brisbane,207.0,679.0,69.0,2006.0,concrete,residential
837.0,Marquis,Miami,207.0,679.0,63.0,2009.0,concrete,residential / hotel
838.0,Paradise by the River A,C hongqing,207.0,679.0,54.0,2005.0,concrete,residential / retail
838.0,Paradise by the River B,C hongqing,207.0,679.0,54.0,2005.0,concrete,residential / retail
838.0,Paradise by the River C,C hongqing,207.0,679.0,54.0,2007.0,concrete,residential / retail
838.0,Tamani Hotel Marina,Dubai,207.0,679.0,54.0,2006.0,concrete,hotel
842.0,Majestic Tower,Sharjah,207.0,679.0,52.0,2009.0,concrete,residential
842.0,Marina C rown,Dubai,207.0,679.0,52.0,2006.0,concrete,residential
844.0,Baiguan Plaza,Shangyu,207.0,679.0,50.0,2012.0,concrete,hotel / office
845.0,"Sofitel Jin Jiang Oriental Pudong
Hotel",Shanghai,207.0,679.0,48.0,2002.0,,hotel
846.0,Hanjiang International Tower,Wuhan,207.0,679.0,41.0,2014.0,composite,office
846.0,HSBC Tower Soho Mall,Panama C ity,207.0,679.0,41.0,2015.0,concrete,office
848.0,Seomyeon C entral Star A,Busan,207.0,679.0,58.0,2011.0,concrete,residential
849.0,Bay-Wellington Tower,Toronto,207.0,679.0,49.0,1991.0,composite,office
850.0,C iputra World Residential Tower,Jakarta,206.9,679.0,49.0,2014.0,concrete,residential
851.0,Marina Bay Sands Hotel 1,Singapore,206.9,679.0,57.0,2010.0,composite,hotel
851.0,Marina Bay Sands Hotel 3,Singapore,206.9,679.0,57.0,2010.0,composite,hotel
853.0,LyondellBassell Tower,Houston,206.8,678.0,47.0,1978.0,composite,office
854.0,"GT Land Landmark Plaza North
Tower",Guangzhou,206.8,678.0,46.0,2014.0,composite,office
855.0,Ark Hills Sengokuyama Mori Tower,Tokyo,206.7,678.0,47.0,2012.0,composite,office / residential
856.0,Fuzhou Shenglong Financial C entre,Fuzhou,206.6,678.0,47.0,2014.0,composite,office
857.0,C hongqing Plaza T1,C hongqing,206.5,677.0,40.0,2015.0,concrete,office / retail
858.0,AT&T Building,Atlanta,206.4,677.0,47.0,1980.0,concrete,office
859.0,Ningbo International Trade C enter,Ningbo,206.2,677.0,42.0,2010.0,concrete,office
860.0,Sorrento 6,Hong Kong,206.1,676.0,60.0,2003.0,concrete,residential
861.0,Union Bank Plaza,Pasig,206.0,676.0,49.0,2004.0,concrete,office
862.0,LOHAS Park The C apitol Madrid,Hong Kong,206.0,676.0,67.0,2009.0,concrete,residential
862.0,LOHAS Park The C apitol Milan,Hong Kong,206.0,676.0,67.0,2009.0,concrete,residential
864.0,Bellagio Tower 1-5,Hong Kong,206.0,676.0,64.0,2005.0,concrete,residential
865.0,Sky,New York C ity,206.0,676.0,61.0,2015.0,concrete,residential
866.0,Landmark,Shenzhen,206.0,676.0,52.0,2007.0,,office
867.0,"Tanhyun Doosan We've the Zenith
108",Goyang,206.0,676.0,51.0,2013.0,concrete,residential
868.0,Kempinski Hotel,Wuxi,206.0,676.0,50.0,2007.0,,hotel
869.0,Minyoun Financial Plaza,C hengdu,206.0,676.0,47.0,2012.0,composite,hotel / office
870.0,Golden Landmark,Shanghai,206.0,676.0,41.0,2008.0,concrete,office
870.0,Jasmine International Tower,Nonthaburi,206.0,676.0,41.0,1997.0,,office
872.0,East Pacific C enter Tower C,Shenzhen,206.0,676.0,40.0,2010.0,concrete,office
872.0,Vietcombank Tower,Ho C hi Minh C ity,206.0,676.0,40.0,2015.0,concrete,office
874.0,Encore at Wynn Macau,Macau,206.0,676.0,-,2010.0,,hotel / casino
875.0,C itibank Plaza 1,Hong Kong,205.5,674.0,51.0,1992.0,concrete,office
876.0,May House,Hong Kong,205.5,674.0,47.0,2004.0,concrete,government
877.0,Haeundae I Park Marina Tower 3,Busan,205.5,674.0,46.0,2011.0,composite,residential
878.0,McGraw-Hill Building,New York C ity,205.4,674.0,51.0,1972.0,steel,office
879.0,One Magnificent Mile,C hicago,205.1,673.0,57.0,1983.0,concrete,residential / office
880.0,C itigroup Building,New York C ity,205.1,673.0,50.0,1990.0,steel,office
881.0,Barclay Tower,New York C ity,205.1,673.0,56.0,2007.0,concrete,residential
882.0,Freshwater Place Residential Tower,Melbourne,205.0,673.0,63.0,2005.0,concrete,residential
883.0,Metro Town Tower 1,Hong Kong,205.0,673.0,62.0,2006.0,concrete,residential
883.0,Metro Town Tower 2,Hong Kong,205.0,673.0,62.0,2006.0,concrete,residential
885.0,L Tower,Toronto,205.0,673.0,58.0,2014.0,concrete,residential
886.0,Four Seasons Place,Hong Kong,205.0,673.0,55.0,2005.0,concrete,residential / hotel
887.0,Jiahe Plaza,Dalian,205.0,673.0,54.0,2013.0,concrete,residential
888.0,Le 1000 de la Gauchetiere,Montreal,205.0,673.0,51.0,1992.0,composite,office
889.0,Nan Zheng Mansion,Shanghai,205.0,673.0,49.0,1998.0,,office
890.0,GranTokyo North Tower,Tokyo,205.0,673.0,43.0,2007.0,,office
890.0,Wanyin International 2,Hangzhou,205.0,673.0,43.0,2014.0,composite,office
892.0,GranTokyo South Tower,Tokyo,205.0,673.0,42.0,2007.0,,office
893.0,340 on the Park,C hicago,204.9,672.0,64.0,2007.0,concrete,residential
894.0,"C ross Strait Exchange C enter Phase
2 Tower A",Xiamen,204.7,672.0,49.0,2014.0,composite,office
894.0,"C ross Strait Exchange C enter Phase
2 Tower B",Xiamen,204.7,672.0,49.0,2014.0,composite,office
896.0,Paramount Plaza,New York C ity,204.2,670.0,48.0,1970.0,steel,office
897.0,Hysan Place,Hong Kong,204.1,670.0,36.0,2012.0,composite,office / retail
898.0,"Park C ity Musashi-Kosugi Mid Sky
Tower",Kawasaki,204.0,669.0,59.0,2009.0,,residential
899.0,San Lorenzo Tower,Makati,204.0,669.0,57.0,2009.0,,residential
900.0,"Four Seasons Private Residences
West Tower",Toronto,204.0,669.0,55.0,2012.0,concrete,residential / hotel
901.0,The Troika Tower 3,Kuala Lumpur,204.0,669.0,50.0,2010.0,concrete,residential
902.0,Nassima Tower,Dubai,204.0,669.0,49.0,2010.0,concrete,residential / office
903.0,New C entury Plaza West Tower,Shenzhen,204.0,669.0,46.0,2003.0,,office
904.0,"Star Tower, Gangnam Finance
C enter",Seoul,204.0,669.0,45.0,2001.0,concrete,office
905.0,Lippo Plaza,Shanghai,204.0,669.0,38.0,1998.0,,office
906.0,Baihua Plaza,Foshan,203.9,669.0,54.0,1996.0,,office
907.0,Glory International C enter,C hongqing,203.8,669.0,45.0,2014.0,,hotel / office
908.0,Mode Gakuen C ocoon Tower,Tokyo,203.6,668.0,50.0,2008.0,steel,education
909.0,United Building,C hicago,203.6,668.0,49.0,1992.0,composite,office
910.0,33 South 6th Street,Minneapolis,203.6,668.0,52.0,1983.0,concrete,office
911.0,HSBC Tower,Shanghai,203.4,667.0,46.0,1998.0,composite,office
912.0,BOK Tower,Tulsa,203.3,667.0,52.0,1975.0,steel,office
913.0,"Ritz-C arlton/Marriott Marquis Los
Angeles",Los Angeles,203.3,667.0,54.0,2010.0,steel,residential / hotel
914.0,Hwaseong Dongtan Metapolis 103,Hwaseong,203.2,667.0,55.0,2010.0,concrete,residential
915.0,48 Burj Gate,Dubai,203.2,667.0,51.0,2014.0,concrete,residential / office
916.0,"Denpasar Residence Kintamani
Tower",Jakarta,203.1,667.0,53.0,2012.0,concrete,residential
916.0,Denpasar Residence Ubud Tower,Jakarta,203.1,667.0,53.0,2012.0,concrete,residential
918.0,Berjaya Times Square Tower A,Kuala Lumpur,203.1,666.0,48.0,2003.0,concrete,hotel
918.0,Berjaya Times Square Tower B,Kuala Lumpur,203.1,666.0,48.0,2003.0,concrete,residential
920.0,1322 Golden Empire Tower,Manila,203.0,666.0,57.0,2002.0,concrete,residential
921.0,Pinnacle,Dalian,203.0,666.0,56.0,2012.0,composite,hotel / office
922.0,BM Plaza Office Tower,Shanghai,203.0,666.0,50.0,2009.0,concrete,office
922.0,Zhonghuan International Plaza,Nanjing,203.0,666.0,50.0,2008.0,,hotel / office
924.0,Renaissance Hotel Tianjin,Tianjin,203.0,666.0,48.0,2002.0,,hotel
925.0,"Samsung Electronics C orporation
HQ",Seoul,203.0,666.0,44.0,2008.0,composite,office
926.0,Golden Mansion C enter,Tianjin,203.0,666.0,36.0,2013.0,concrete,residential / office
927.0,Vanke Jinyu C entral Tower 1,Fuzhou,202.9,666.0,64.0,2015.0,concrete,residential
928.0,ASE C enter R2,C hongqing,202.8,665.0,58.0,2013.0,concrete,residential / retail
929.0,Marina Bay Sands Hotel 2,Singapore,202.8,665.0,57.0,2010.0,composite,hotel
930.0,Sovereign,Atlanta,202.7,665.0,48.0,2008.0,concrete,residential / office
931.0,"Great American Tower at Queen
C ity Square",C incinnati,202.7,665.0,40.0,2011.0,composite,office
932.0,C entury Plaza Tower 1,Liuzhou,202.5,664.0,57.0,2013.0,concrete,residential
933.0,Trump Tower,New York C ity,202.4,664.0,58.0,1982.0,concrete,residential / office
934.0,"ÏC E C ondominiums at York C entre
1",Toronto,202.3,664.0,57.0,2014.0,concrete,residential
935.0,Island Resort Towers 1 & 2,Hong Kong,202.1,663.0,60.0,2001.0,concrete,residential
935.0,Island Resort Towers 3 & 5,Hong Kong,202.1,663.0,60.0,2001.0,concrete,residential
935.0,Island Resort Towers 6 & 7,Hong Kong,202.1,663.0,60.0,2001.0,concrete,residential
935.0,Island Resort Towers 8 & 9,Hong Kong,202.1,663.0,60.0,2001.0,concrete,residential
939.0,C enter Plaza,Guangzhou,202.1,663.0,47.0,2004.0,concrete,hotel / office
940.0,One C orporate C enter,Pasig,202.0,663.0,54.0,2009.0,concrete,office
941.0,K Residence,Kuala Lumpur,202.0,663.0,52.0,2008.0,concrete,residential
942.0,Millennium Tower,Vienna,202.0,663.0,50.0,1999.0,concrete,residential / office
943.0,Lianfa Building,Nanchang,202.0,663.0,49.0,2011.0,composite,office
944.0,AVIC Plaza,Xiamen,202.0,663.0,48.0,2015.0,composite,office
944.0,Zijin Mining Plaza,Xiamen,202.0,663.0,48.0,2015.0,composite,office
946.0,Maslak Spine Tower,Istanbul,202.0,663.0,47.0,2014.0,concrete,residential / office
947.0,C hang Hang Building,Wuhan,202.0,663.0,42.0,2001.0,,office
948.0,One Rockwell West Tower,Makati,201.9,662.0,55.0,2011.0,concrete,residential
949.0,First C ity Tower,Houston,201.8,662.0,47.0,1984.0,,office
950.0,C hina Online C entre,Hong Kong,201.3,660.0,52.0,2000.0,,office
951.0,Mokdong Hyperion Tower C,Seoul,201.2,660.0,54.0,2003.0,concrete,residential
952.0,DBS Tower I,Singapore,201.2,660.0,50.0,1975.0,,office
953.0,Ichon Rex Tower A,Seoul,201.0,659.0,56.0,2015.0,concrete,residential
954.0,Taehwa River Iaan Exordium 1,Ulsan,201.0,659.0,54.0,2010.0,concrete,residential
954.0,Taehwa River Iaan Exordium 2,Ulsan,201.0,659.0,54.0,2010.0,concrete,residential
954.0,X-Tower Osaka Bay,Osaka,201.0,659.0,54.0,2006.0,,residential
957.0,Tunjungan Plaza 5,"Surabaya, Java",201.0,659.0,50.0,2015.0,concrete,residential / office
958.0,Guotong Building,Shenzhen,201.0,659.0,49.0,1997.0,,office
959.0,Nanfang International Mansion,Guangzhou,201.0,659.0,48.0,1998.0,,hotel / office
959.0,The C itadel,Dubai,201.0,659.0,48.0,2009.0,concrete,office
961.0,Izumi Garden Tower,Tokyo,201.0,659.0,43.0,2002.0,,hotel / office
962.0,25 C anada Square,London,201.0,659.0,42.0,2002.0,composite,office
963.0,"Innovation & Entrepenuership
Tower",Harbin,201.0,659.0,40.0,2013.0,concrete,office
964.0,201 Tower,Guiyang,201.0,659.0,39.0,2011.0,steel,office
964.0,Huarun Tower,C hengdu,201.0,659.0,39.0,2012.0,concrete,office
964.0,Yuxi Mining Building,Yuxi,201.0,659.0,39.0,2013.0,,office
967.0,Shangri-La Vancouver,Vancouver,200.9,659.0,59.0,2009.0,concrete,"residential / hotel /
office"
968.0,Hearst Tower,C harlotte,200.8,659.0,47.0,2002.0,steel/concrete,office
969.0,Yuanyang Building,Dalian,200.8,659.0,51.0,2000.0,,hotel
970.0,200 Public Square,C leveland,200.6,658.0,46.0,1985.0,steel,office
971.0,"Jinzhonghuan International Business
Building",Shenzhen,200.5,658.0,50.0,2006.0,,hotel / office
972.0,Guangdong International Building,Guangzhou,200.3,657.0,63.0,1990.0,,hotel / office
973.0,1180 Peachtree,Atlanta,200.2,657.0,41.0,2006.0,concrete,office
974.0,Provincial C ultural C enter Building 2,Jinan,200.1,657.0,48.0,2014.0,composite,office
975.0,Japan Post Tower,Tokyo,200.1,656.0,40.0,2012.0,composite,office
976.0,LOHAS Park Le Prestige Tower A,Hong Kong,200.0,656.0,65.0,2010.0,concrete,residential
976.0,LOHAS Park The C apitol Florence,Hong Kong,200.0,656.0,65.0,2009.0,concrete,residential
978.0,MBK Tower,Dubai,200.0,656.0,59.0,2010.0,concrete,residential / office
979.0,C ity C enter Hotel,Doha,200.0,656.0,58.0,2014.0,concrete,hotel
979.0,Shangri-La Hotel,Doha,200.0,656.0,58.0,2014.0,concrete,residential / hotel
981.0,Dicara Gold Tower - Hilton Hotel,Hangzhou,200.0,656.0,55.0,2014.0,,hotel
981.0,Main Tower,Frankfurt am Main,200.0,656.0,55.0,1999.0,concrete,office
983.0,Al Baker Executive Tower 1,Doha,200.0,656.0,53.0,2012.0,concrete,office
983.0,Riparian Plaza,Brisbane,200.0,656.0,53.0,2005.0,concrete,residential / office
985.0,Merweb Hotel C ity C enter,Doha,200.0,656.0,51.0,2014.0,concrete,residential / hotel
985.0,ORC 200,Osaka,200.0,656.0,51.0,1994.0,steel,hotel / office
987.0,C ourtyard Doha C ity C enter,Doha,200.0,656.0,50.0,2011.0,concrete,hotel
987.0,Renaissance Doha C ity C enter Hotel,Doha,200.0,656.0,50.0,2011.0,concrete,hotel
987.0,Tower 185,Frankfurt am Main,200.0,656.0,50.0,2011.0,concrete,office
990.0,Al Baker Executive Tower 2,Doha,200.0,656.0,48.0,2012.0,concrete,office
990.0,"Jiangsu Telecommunication Limited
C ompany Mul…",Nanjing,200.0,656.0,48.0,2008.0,,office
992.0,Philamlife Tower,Makati,200.0,656.0,47.0,1999.0,concrete,office
992.0,Qingxiu Wanda Plaza Office Tower 1,Nanning,200.0,656.0,47.0,2015.0,composite,office
992.0,Qingxiu Wanda Plaza Office Tower 2,Nanning,200.0,656.0,47.0,2015.0,composite,office
992.0,Qingxiu Wanda Plaza Office Tower 3,Nanning,200.0,656.0,47.0,2015.0,composite,office
992.0,R&F C enter Tower 1,Tianjin,200.0,656.0,47.0,2014.0,composite,office
992.0,R&F C enter Tower 2,Tianjin,200.0,656.0,47.0,2014.0,composite,residential
999.0,Dhahran Tower,Al Khobar,200.0,656.0,46.0,2012.0,concrete,residential
1000.0,Hainan Tower 1,Haikou,200.0,656.0,45.0,2015.0,composite,office
1000.0,Lot G Office Towers,Kuala Lumpur,200.0,656.0,45.0,2013.0,concrete,office
1000.0,Wangjing SOHO T3,Beijing,200.0,656.0,45.0,2014.0,composite,office
1003.0,"Hunan International Finance
Building",C hangsha,200.0,656.0,43.0,1998.0,,office
1003.0,Sompo Japan Head Office Building,Tokyo,200.0,656.0,43.0,1976.0,composite,office
1005.0,"Phoenix International Book C ity
East Tower",Suzhou,200.0,656.0,42.0,2013.0,composite,office
1005.0,Shenzhen Kerry C entre II,Shenzhen,200.0,656.0,42.0,2012.0,concrete,office
1005.0,The Plaza Office Tower,Jakarta,200.0,656.0,42.0,2009.0,concrete,office
1005.0,Yatai Fortune C enter,C hangzhou,200.0,656.0,42.0,2012.0,concrete,residential / office
1009.0,"Palm Springs International C enter
Tower 1",C hengdu,200.0,656.0,41.0,2013.0,concrete,office
1009.0,Wanyin International 3,Hangzhou,200.0,656.0,41.0,2014.0,composite,office
1011.0,C apital Plaza Office Tower,Abu Dhabi,200.0,656.0,40.0,2011.0,concrete,office
1011.0,C entral Spring,Nanchang,200.0,656.0,40.0,2015.0,concrete,office
1011.0,Folkart Tower A,Izmir,200.0,656.0,40.0,2014.0,concrete,office / residential
1011.0,Folkart Tower B,Izmir,200.0,656.0,40.0,2015.0,concrete,office / residential
1011.0,Golf Hotel,Nantong,200.0,656.0,40.0,2014.0,composite,hotel / office
1011.0,Zhengzhou Resources C enter,Zhengzhou,200.0,656.0,40.0,2014.0,composite,office
1017.0,Tour Incity,Lyon,200.0,656.0,39.0,2015.0,concrete,office
1018.0,Binhai C athay Tower,Tianjin,200.0,656.0,37.0,2014.0,composite,office
1019.0,"Batumi Technological University
Tower",Batumi,200.0,656.0,35.0,2012.0,concrete,observation / education
1020.0,The Yomiuri Shimbun Building,Tokyo,200.0,656.0,33.0,2013.0,composite,office
1021.0,Al Nakheel Tower,Riyadh,200.0,656.0,26.0,2011.0,concrete,office
1022.0,Shanghai World Plaza,Shanghai,199.9,656.0,38.0,1997.0,,office
1023.0,"Guangzhou Greenland Baiyun
C enter",Guangzhou,199.9,656.0,45.0,2014.0,composite,office
1024.0,Yuda World Trade C enter,Zhengzhou,199.7,655.0,45.0,1997.0,concrete,hotel / office
1025.0,The Otemachi Tower,Tokyo,199.7,655.0,38.0,2013.0,composite,hotel / office
1026.0,1700 Pacific,Dallas,199.6,655.0,50.0,1983.0,,office
1027.0,Dolton Hotel,C hangsha,199.6,655.0,51.0,1998.0,,hotel
1028.0,8 C anada Square,London,199.5,655.0,42.0,2002.0,composite,office
1029.0,Wells Fargo Tower,Miami,199.5,655.0,47.0,2010.0,steel/concrete,office
1030.0,"C onrad Seoul at International
Finance C enter",Seoul,199.4,654.0,38.0,2012.0,composite,hotel
1031.0,Millennium Residence 2,Bangkok,199.3,654.0,54.0,2009.0,concrete,residential
1031.0,Millennium Residence 3,Bangkok,199.3,654.0,54.0,2009.0,concrete,residential
1033.0,Silver Towers East,New York C ity,199.2,653.0,58.0,2009.0,concrete,residential
1033.0,Silver Towers West,New York C ity,199.2,653.0,58.0,2009.0,concrete,residential
1035.0,599 Lexington Avenue,New York C ity,199.0,653.0,51.0,1986.0,steel,office
1036.0,Walton Heights,Shenzhen,199.0,653.0,57.0,2005.0,,hotel / office
1037.0,Fortune Heights,Beijing,199.0,653.0,55.0,2008.0,composite,residential
1038.0,Diamond Flower Tower,Hanoi,199.0,653.0,40.0,2015.0,concrete,office
1039.0,Oriental Financial C enter,Shanghai,199.0,653.0,31.0,2014.0,composite,office
1040.0,Nakanoshima Festival Tower,Osaka,199.0,653.0,39.0,2012.0,steel,office / other
1041.0,C onrad International Hotel,Hong Kong,198.9,653.0,61.0,1990.0,,hotel / residential
1042.0,Bund C enter,Shanghai,198.9,653.0,45.0,2002.0,concrete,office
1043.0,The Offices at C entralWorld,Bangkok,198.8,652.0,51.0,2004.0,concrete,office
1044.0,Metro Plaza I,Guangzhou,198.8,652.0,48.0,1996.0,,office
1045.0,Suning Plaza,Shijiazhuang,198.8,652.0,45.0,2013.0,,office
